Time,Temp Channel 1 (*C)
07-12-2018 19:32:06.%f,22.500
07-12-2018 19:32:06.%f,22.500
07-12-2018 19:32:07.%f,22.500
07-12-2018 19:32:07.%f,22.500
07-12-2018 19:32:08.%f,22.250
07-12-2018 19:32:08.%f,22.500
07-12-2018 19:32:09.%f,22.500
07-12-2018 19:32:09.%f,22.250
07-12-2018 19:32:10.%f,22.250
07-12-2018 19:32:10.%f,22.250
07-12-2018 19:32:11.%f,22.250
07-12-2018 19:32:11.%f,22.250
07-12-2018 19:32:12.%f,22.250
07-12-2018 19:32:13.%f,22.250
07-12-2018 19:32:13.%f,22.250
07-12-2018 19:32:14.%f,22.250
07-12-2018 19:32:14.%f,22.250
07-12-2018 19:32:15.%f,22.250
07-12-2018 19:32:15.%f,22.250
07-12-2018 19:32:16.%f,22.250
